AIRCRAFT,RENAMED,ACCL,AEM,AMAX,CACCL,CARROP,CATG,CCLIMB,CGFRC,CLIMB,CLRNG,DIVE,DMPIPP,DTRNG,EXPND,FLIR,FMC,GEM,GFRC,INVSB,IRTW,JP,LDELY,LINK16,MAINT,MNFAL,MNMNT,MNRPR,MSOA,ODELY,PBBAD,PBBDA,PBFAL,PBGAB,PBLCH,PBREC,PBRTB,PSILOW,PSILOWPD,PSIMIN,PSINITE,PSINITEPD,PSIRATIO,QMAX,RADTW,RANGE,RCVR,RDELY,REACT,RSURF,SDMNT,SEM,SLTPR,SURVV,SYSFL,TNKR,VCRU,VISTW,VMAX,VMIN,XSECT
A109,,100,1,10000,200,YES,HELO    ,2000,6.00,1000,3,,1,6,NO ,NO,95.00,100,4.00,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,190,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,165,,190,0,5
A10A,,300,80,30000,600,NO ,HELO    ,6000,8.20,4000,2,,1,5,NO ,NO,95.00,100,6.00,NO ,.7,10700,5,YES,100,600,200,25,100,30,50.00,50.00,,4.90,,,10.00,6.00,5.00,36.00,41.00,42.00,42.00,350,.9,1200,BOOM,60,YES,UNIMPROVED,100,100,MED,.9,,NONE,300,.9,360,120,5
A300,,40,1,40000,60,NO ,HELO    ,3000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,120640,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,4150,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,90,10
A310,,60,1,40000,70,NO ,HELO    ,4000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,108110,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,5200,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,108,10
A320,,60,1,40000,70,NO ,HELO    ,4000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,45949,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,3065,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
A330,,60,1,40000,70,NO ,HELO    ,4000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,334640,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6400,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
A340,,60,1,40000,80,NO ,HELO    ,4500,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,334640,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8500,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,120,10
A37B,,,100,45000,,NO ,HELO    ,3000,,3000,2,,1,5,YES,NO,95.00,100,,NO ,,8000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1050,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,600,0,5
A4E,,,100,45000,,NO ,HELO    ,3000,,3000,2,,1,5,YES,NO,95.00,100,,NO ,,8000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1050,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,600,120,5
A4M,,,100,45000,,YES,HELO    ,3000,,3000,2,,1,5,YES,NO,95.00,100,,NO ,,8000,5,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,550,,1050,NONE,60,YES,IMPROVED,100,100,MED,,,NONE,480,,600,200,5
