AIRCRAFT,RENAMED,ACCL,AEM,AMAX,CACCL,CARROP,CATG,CCLIMB,CGFRC,CLIMB,CLRNG,DIVE,DMPIPP,DTRNG,EXPND,FLIR,FMC,GEM,GFRC,INVSB,IRTW,JP,LDELY,LINK16,MAINT,MNFAL,MNMNT,MNRPR,MSOA,ODELY,PBBAD,PBBDA,PBFAL,PBGAB,PBLCH,PBREC,PBRTB,PSILOW,PSILOWPD,PSIMIN,PSINITE,PSINITEPD,PSIRATIO,QMAX,RADTW,RANGE,RCVR,RDELY,REACT,RSURF,SDMNT,SEM,SLTPR,SURVV,SYSFL,TNKR,VCRU,VISTW,VMAX,VMIN,XSECT
C123,,,1,30000,,NO ,JET     ,3200,,3200,7,,1,15,NO ,NO,95.00,100,,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,NONE,100,NO ,UNIMPROVED,150,100,NONE,,,NONE,300,,360,200,15
C12F,,30,1,35000,40,NO ,JET     ,3000,2.50,2000,5,,1,5,NO ,NO,95.00,1,1.25,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,250,,2000,NONE,60,NO ,UNIMPROVED,100,1,LOW,,,NONE,295,,325,80,10
C12J,,,1,25000,,NO ,JET     ,3000,,3000,5,,1,5,NO ,NO,95.00,1,,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,310,,2000,NONE,60,NO ,UNIMPROVED,100,1,LOW,,,NONE,270,,325,115,10
C130A,,40,1,30000,60,NO ,JET     ,3000,2.50,2000,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,33000,10,NO ,100,1000,200,60,500,30,50.00,50.00,,5.00,,,10.00,,,,,,,300,,2500,NONE,60,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,72,15
C130E,,40,1,30000,60,NO ,JET     ,3000,2.50,2000,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,33000,10,NO ,100,1000,200,60,500,30,50.00,50.00,,5.00,,,10.00,,,,,,,300,,2500,NONE,60,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,200,15
C130H,,40,1,30000,60,NO ,JET     ,3000,2.50,2000,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,33000,10,NO ,100,1000,200,60,500,30,50.00,50.00,,5.00,,,10.00,,,,,,,300,,2500,BOOM,60,NO ,UNIMPROVED,100,100,NONE,,,NONE,300,,360,200,15
C130J,,60,1,30000,80,NO ,JET     ,4000,3.00,2500,7,,1,15,NO ,NO,95.00,100,1.25,NO ,,33000,10,NO ,100,1000,200,60,500,30,50.00,50.00,,5.00,,,10.00,,,,,,,300,,2500,BOOM,60,NO ,UNIMPROVED,100,100,NONE,,,DROGUE,300,,360,120,15
C135,,80,1,45000,120,NO ,JET     ,4000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,165000,10,NO ,100,800,200,60,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,BOOM,100,NO ,IMPROVED,100,1,NONE,,,BOOM,450,,480,175,20
C135F,,80,1,45000,120,NO ,JET     ,4000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,203228,10,NO ,100,800,200,60,1000,0,5.00,5.00,,5.00,,,5.00,,,,,,,350,,6000,BOOM,100,NO ,IMPROVED,100,1,NONE,,,BOOM,450,,480,120,20
C141B,,80,1,45000,100,NO ,JET     ,4000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,140000,10,NO ,100,800,200,60,1000,45,50.00,50.00,,5.00,,,10.00,,,,,,,350,,8000,BOOM,80,NO ,IMPROVED,100,1,NONE,,,NONE,480,,480,96,20
C141C,,80,1,45000,100,NO ,JET     ,4000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,140000,10,NO ,100,800,200,60,1000,45,50.00,50.00,,5.00,,,10.00,,,,,,,350,,8000,BOOM,80,NO ,IMPROVED,100,1,NONE,,,NONE,480,,480,200,20
C160,,40,1,30000,60,NO ,JET     ,3200,2.50,2500,7,,1,15,NO ,NO,95.00,1,1.55,NO ,,32675,10,NO ,200,600,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,300,,1900,DROGUE,100,NO ,UNIMPROVED,150,1,NONE,,,DROGUE,300,,360,120,15
C172,,30,1,11000,50,NO ,JET     ,3000,3.50,2000,5,,1,5,NO ,NO,95.00,100,1.75,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,148,,2000,NONE,60,NO ,UNIMPROVED,100,100,LOW,,,NONE,120,,150,30,10
C17A,,80,1,35000,120,NO ,JET     ,4000,2.50,2500,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,150000,10,NO ,100,800,20,60,1000,25,2.50,2.50,,2.50,,,2.50,,,,,,,350,,8000,BOOM,80,NO ,UNIMPROVED,100,1,NONE,,,NONE,480,,540,200,10
C20,,,1,31000,,NO ,JET     ,2000,,2000,3,,1,10,NO ,NO,95.00,1,,NO ,,3200,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,250,,1300,NONE,60,NO ,IMPROVED,100,1,LOW,,,NONE,240,,300,200,5
C206,,,1,10000,,YES,JET     ,1000,,1000,3,,1,6,NO ,NO,95.00,100,,NO ,,5400,1,NO ,200,1000,200,50,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,118,,600,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,110,,120,0,5
C21,,,1,40000,,NO ,JET     ,9600,,9600,2,,1,5,NO ,NO,95.00,1,,NO ,,8000,5,NO ,100,600,200,25,1000,1,5.00,5.00,,5.00,,,5.00,,,,,,,350,,1600,NONE,25,NO ,IMPROVED,100,1,LOW,,,NONE,400,,410,,5
C22B,,,1,40000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,0,10
C23,,,1,31000,,NO ,JET     ,2000,,2000,3,,1,10,NO ,NO,95.00,1,,NO ,,3200,3,NO ,100,600,200,25,100,30,5.00,5.00,,5.00,,,5.00,,,,,,,250,,1300,NONE,60,NO ,IMPROVED,100,1,LOW,,,NONE,240,,300,200,5
C29,,,1,40000,,NO ,JET     ,9600,,9600,2,,1,5,NO ,NO,95.00,1,,NO ,,8000,5,NO ,100,600,200,25,1000,1,5.00,5.00,,5.00,,,5.00,,,,,,,350,,1600,NONE,25,NO ,IMPROVED,100,1,LOW,,,NONE,400,,410,82,5
C2A,,40,1,31000,60,YES,JET     ,4000,2.50,2500,5,,1,5,NO ,NO,95.00,1,1.25,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,300,,2000,NONE,60,NO ,IMPROVED,100,1,LOW,,,NONE,300,,325,80,10
C337B,,,1,11000,,NO ,JET     ,3000,2.25,3000,5,,1,5,NO ,NO,95.00,100,1.25,NO ,,12400,10,NO ,100,800,200,60,500,0,5.00,5.00,,5.00,,,5.00,,,,,,,172,,750,NONE,30,NO ,UNIMPROVED,100,100,LOW,,,NONE,145,,172,30,5
C5A,,40,1,35000,60,NO ,JET     ,3000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,150000,10,NO ,100,800,20,60,1000,25,50.00,50.00,,5.00,,,10.00,,,,,,,350,,8000,BOOM,80,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
C5B,,40,1,35000,60,NO ,JET     ,3000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,150000,10,NO ,100,800,20,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,BOOM,80,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
C5C,,40,1,35000,60,NO ,JET     ,3000,2.50,3000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,150000,10,NO ,100,800,20,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,BOOM,80,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,80,10
C9A,,60,1,40000,120,NO ,JET     ,4000,2.50,2000,10,,1,15,NO ,NO,95.00,1,1.25,NO ,,140000,10,NO ,100,800,100,60,1000,25,50.00,50.00,,5.00,,,10.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,90,10
C9B,,,1,40000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,108,10
CAMBER,,,1,40000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,200,10
CANBERRA,,,1,60000,,NO ,JET     ,10000,,10000,2,,1,4,NO ,NO,95.00,100,,NO ,,18000,10,NO ,200,1000,300,50,1000,100,5.00,5.00,,5.00,,,5.00,,,,,,,400,,3000,NONE,100,NO ,IMPROVED,150,100,NONE,,,NONE,420,,420,200,5
CANDIDA,,40,100,48000,80,NO ,JET     ,6000,2.50,3000,3,,1,6,NO ,NO,95.00,100,1.25,NO ,,25000,10,NO ,100,800,200,50,1000,50,5.00,5.00,,5.00,,,5.00,,,,,,,350,,1600,NONE,60,NO ,IMPROVED,100,100,NONE,,,NONE,400,,550,120,8
CANDIDB,,,100,51824,,NO ,JET     ,1000,,1000,9,,1,12,NO ,NO,95.00,100,,NO ,,146828,10,NO ,100,800,200,60,1000,45,5.00,5.00,,5.00,,,5.00,,,,,,,350,,4400,NONE,80,NO ,IMPROVED,100,100,NONE,,,NONE,300,,430,0,19
CARELESS,,,1,40000,,NO ,JET     ,3000,,3000,10,,1,15,NO ,NO,95.00,1,,NO ,,140000,10,NO ,100,800,100,60,1000,25,5.00,5.00,,5.00,,,5.00,,,,,,,350,,8000,NONE,60,NO ,IMPROVED,100,1,NONE,,,NONE,480,,540,108,10
CASA101,,,100,48000,,NO ,JET     ,9600,,9600,2,,1,5,YES,YES,95.00,100,,NO ,,2006,3,NO ,100,600,200,25,100,25,5.00,5.00,,5.00,,,5.00,,,,,,,450,,600,NONE,60,YES,IMPROVED,100,100,LOW,,,NONE,420,,500,200,5
