RADAR,RENAMED,BDWTH,BEAM,FCRDR,FREQ,FUNCT,GAIN,MNFAL,MNRPR,NSFIG,PFA,POWER,PRR,RANGE,SRATE,SSECT
A125S,,1,70,NO ,500,SURF,30,,,5,6,60,500,200,6,360
AA4MY,,4,16,YES,3015,AIR,27,,,4,6,50,800,60,15,360
AGO10,,300,12,YES,1400,AIR,40,,,3,6,50,1000,210,6,360
AGOS5,,300,10,YES,1380,AIR,40,,,3,6,50,360,220,6,360
AI23D,,150,36,YES,9000,AIR,12,,,3,8,50,743,60,100,50
AI24,,150,36,YES,9000,AIRCM,12,,,3,8,50,743,60,100,50
AIRSS,,10,1000,NO ,2000,SURF,60,,,5,4,100,1000,100,1,180
ANEMONE,,10,1000,NO ,2000,SURF,60,,,5,4,100,1000,100,1,180
ANTELOP5,,150,36,YES,9000,AIRCM,12,,,3,8,50,743,60,100,50
ANTELP50,,150,36,YES,9000,AIRCM,12,,,3,8,50,743,60,100,50
APG63,,10,160,YES,2000,AIRCM,36,,,5,4,50,1000,100,6,200
APG63S,,10,1000,NO ,2000,SURF,60,,,5,4,100,1000,100,1,180
APG63V1,,10,1000,YES,2000,AIRCM,20,,,5,4,50,800,60,6,200
APG63V1S,,10,1000,NO ,2000,SURF,60,,,5,4,100,1000,100,1,180
APG63V2,,10,160,YES,2000,AIRCM,36,,,5,4,50,1000,100,6,200
APG63V2S,,10,1000,NO ,2000,SURF,60,,,5,4,100,1000,100,1,180
APG65,,10,1000,YES,2000,AIR,20,,,5,4,50,800,60,6,200
APG65S,,10,1000,NO ,2000,SURF,60,,,5,4,100,1000,100,1,180
APG66,,1,160,YES,500,AIRCM,30,,,5,6,60,500,92,6,360
APG66S,,1,160,NO ,500,SURF,30,,,5,6,60,500,500,9,360
APG68,,1,160,YES,500,AIRCM,30,,,5,6,60,500,160,6,360
APG68S,,1,160,NO ,500,SURF,30,,,5,6,60,500,500,9,360
APG70,,10,160,YES,9690,AIRCM,36,,,4,4,57,765,115,20,180
APG70S,,2,33,NO ,9550,SURF,34,,,7,6,32,2400,68,28,140
APG71,,10,25,YES,9690,AIRCM,36,,,4,4,57,765,60,20,180
APG71S,,2,33,NO ,9550,SURF,34,,,7,6,32,2400,68,28,140
APG73,,10,25,YES,9690,AIRCM,36,,,4,4,57,765,60,20,180
APG73S,,2,33,NO ,9550,SURF,34,,,7,6,32,2400,68,28,140
APG77,,1,160,YES,500,AIRCM,30,,,5,6,60,500,110,6,360
APG77S,,1,160,NO ,500,SURF,30,,,5,6,60,500,500,9,360
APN153,,3,60,YES,1000,AIR,28,,,4,6,50,2500,20,30,45
APQ100,,10,36,YES,9000,AIR,37,,,7,4,50,1110,30,20,180
APQ109,,10,36,YES,9000,AIR,37,,,7,4,50,1110,30,20,180
APQ120,,10,36,YES,9000,AIR,37,,,7,4,50,1110,30,20,180
APQ122,,10,44,YES,2000,AIR,20,,,5,6,80,800,60,20,25
APQ144,,10,36,YES,16000,AIR,37,,,7,4,50,690,30,20,180
APQ148,,10,23,YES,16000,AIR,36,,,7,4,50,2400,35,30,180
APQ153,,3,60,YES,1000,AIR,28,,,4,6,50,2500,20,30,45
