                                   ENVIRONMENT FILE = portsea.env 



 SONIC LAYER DEPTH = 3000 feet

 NUMBER OF FREQUENCIES =  20

 NUMBER OF ACTIVE SONOBUOYS =  1

 NUMBER OF ACTIVE SONARS = 3

 FREQUENCIES (Hz):
    10    15    20    30    40    60    80   100   125   250   315   630   900  1250  1600  2000  2500  3500  5000 10000

 AMBIENT NOISE (dB):
    81    83    84    85    84    82    80    78    77    77    77    76    69    64    62    61    57    56    53    48

 ACTIVE SONOBUOY DATA:       Type      Range (nautical miles)
                             SSQ62      2.0

 ACTIVE SONAR DATA: (depth in feet, ranges in nautical miles)

               <-------------------DP Range-------------------><---------BB Range Limits------><---CZ Limits--->
       Dip/Tow     12 knots        18 knots        24 knots
 Type   Depth     In     Deep     In     Deep     In     Deep    Inner   Outer   Inner   Outer   Inner   Outer   
 BQQ5A      0     2.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 BQR2A      0     2.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 PERCH      0     3.5     3.0     3.0     2.5     1.0     0.8     0.0     0.0     0.0     0.0     0.0     0.0


 PROPAGATION LOSS DATA: (all values in dB)


                10 Hz                15 Hz                20 Hz                30 Hz                40 Hz

 Mile     In  Cross  Deep      In  Cross  Deep      In  Cross  Deep      In  Cross  Deep      In  Cross  Deep
   1     66.1  66.1  66.1     66.1  66.1  66.1     55.0  55.0  55.0     55.0  55.0  55.0     60.0  60.0  60.0
   2     72.1  72.1  72.1     72.1  72.1  72.1     61.0  61.0  61.0     61.0  61.0  61.0     66.0  66.0  66.0
   3     75.7 123.6  75.7     75.7 123.5  75.7     79.0  79.0  79.0     79.0  79.0  79.0     70.0  70.0  70.0
   4    124.4 124.4  78.2    124.3 124.3  78.2     82.0  82.0  82.0     82.0  82.0  82.0     72.0  72.0  72.0
   5    125.2 125.2  80.1    125.1 125.1  80.1     85.0  85.0  85.0     85.0  85.0  85.0     74.0  74.0  74.0
   6    126.0 126.0  81.7    125.9 125.9  81.7     87.0  87.0  87.0     87.0  87.0  87.0     76.0  76.0  76.0
   7    126.8 126.8 126.7    126.7 126.7 126.7     89.0  89.0  89.0     89.0  89.0  89.0     78.0  78.0  78.0
   8    127.6 127.5 127.5    127.5 127.5 127.4     91.0  91.0  91.0     91.0  91.0  91.0     80.0  80.0  80.0
   9    128.3 128.3 128.3    128.2 128.2 128.2     93.0  93.0  93.0     93.0  93.0  93.0     81.4  81.4  81.4
  10    129.0 129.0 129.0    128.9 128.9 128.9     94.5  94.5  94.5     94.5  94.5  94.5     83.0  83.0  83.0
  11    129.6 129.6 129.6    129.6 129.5 129.5     96.0  96.0  96.0     96.0  96.0  96.0     84.0  84.0  84.0
  12    130.3 130.2 130.2    130.2 130.2 130.2     97.0  97.0  97.0     97.0  97.0  97.0     85.5  85.5  85.5
  13    130.8 130.8 130.8    130.8 130.8 130.7     98.0  98.0  98.0     98.0  98.0  98.0     87.0  87.0  87.0
  14    131.2 131.1 131.1    131.1 131.1 131.0     99.0  99.0  99.0     99.0  99.0  99.0     88.5  88.5  88.5
  15    131.3 131.2 131.1    131.2 131.1 131.1    100.2 100.2 100.2    100.2 100.2 100.2     89.2  89.2  89.2
  16    131.3 131.3 131.2    131.3 131.2 131.1    100.5 100.5 100.5    100.5 100.5 100.5     89.6  89.6  89.6
  17    131.4 131.4 131.3    131.3 131.3 131.2    102.7 102.7 102.7    102.7 102.7 102.7     90.0  90.0  90.0
  18    131.5 131.4 131.4    131.4 131.4 131.3    102.9 102.9 102.9    102.9 102.9 102.9     91.0  91.0  91.0
  19    131.6 131.5 131.5    131.5 131.4 131.4    103.0 103.0 103.0    103.0 103.0 103.0     92.0  92.0  92.0
  20    131.6 131.6 131.5    131.6 131.5 131.5    104.0 104.0 104.0    104.0 104.0 104.0     93.0  93.0  93.0
  21    131.7 131.7 131.6    131.7 131.6 131.6    105.0 105.0 105.0    105.0 105.0 105.0     93.0  93.0  93.0
  22    131.8 131.8 131.7    131.7 131.7 131.6    106.0 106.0 106.0    106.0 106.0 106.0     94.0  94.0  94.0
  23    131.9 131.9 131.8    131.8 131.8 131.7    107.0 107.0 107.0    107.0 107.0 107.0     95.0  95.0  95.0
  24    132.0 131.9 131.9    131.9 131.9 131.8    108.0 108.0 108.0    108.0 108.0 108.0     96.0  96.0  96.0
  25    132.1 132.0 132.0    132.0 132.0 131.9    109.0 109.0 109.0    109.0 109.0 109.0     98.0  98.0  98.0
  26    132.2 132.1 132.1    132.1 132.1 132.0    111.0 111.0 111.0    111.0 111.0 111.0    100.0 100.0 100.0
  27    125.1 125.1 125.8    125.0 125.0 125.7    113.0 113.0 113.0    113.0 113.0 113.0    103.0 103.0 103.0
  28    125.2 125.2 125.9    125.1 125.1 125.8    115.0 115.0 115.0    115.0 115.0 115.0    105.0 105.0 105.0
  29    125.3 125.3 126.0    125.2 125.2 125.9    118.0 118.0 118.0    118.0 118.0 118.0    107.0 107.0 107.0
  30    125.4 125.4 126.1    125.3 125.3 126.0    121.0 121.0 121.0    121.0 121.0 121.0    110.0 110.0 110.0
  31    125.5 125.5 126.2    125.4 125.4 126.1    124.0 124.0 124.0    124.0 124.0 124.0    113.0 113.0 113.0
  32    125.6 125.6 126.3    125.5 125.5 126.2    127.0 127.0 127.0    127.0 127.0 127.0    115.0 115.0 115.0
  33    125.7 125.7 126.4    125.6 125.6 126.3    130.0 130.0 130.0    130.0 130.0 130.0    118.0 118.0 118.0
  34    125.8 125.8 126.5    125.7 125.7 126.4    133.0 133.0 133.0    133.0 133.0 133.0    121.0 121.0 121.0
  35    133.1 133.0 126.6    133.0 132.9 126.5    136.0 136.0 136.0    136.0 136.0 136.0    123.0 123.0 123.0
  36    133.2 133.1 133.1    133.1 133.0 133.0    139.0 139.0 139.0    139.0 139.0 139.0    126.0 126.0 126.0
  37    133.3 133.2 133.2    133.2 133.1 133.1    142.0 142.0 142.0    142.0 142.0 142.0    129.0 129.0 129.0
  38    133.4 133.3 133.3    133.3 133.2 133.2    145.0 145.0 145.0    145.0 145.0 145.0    132.0 132.0 132.0
  39    133.5 133.4 133.4    133.4 133.3 133.3    148.0 148.0 148.0    148.0 148.0 148.0    135.0 135.0 135.0
  40    133.5 133.5 133.5    133.5 133.4 133.4    151.0 151.0 151.0    151.0 151.0 151.0    138.0 138.0 138.0
  41    133.6 133.6 133.6    133.6 133.5 133.5    154.0 154.0 154.0    154.0 154.0 154.0    141.0 141.0 141.0
  42    133.7 133.7 133.7    133.7 133.6 133.6    157.0 157.0 157.0    157.0 157.0 157.0    144.0 144.0 144.0
  43    133.8 133.8 133.8    133.8 133.7 133.7    160.0 160.0 160.0    160.0 160.0 160.0    147.0 147.0 147.0
  44    133.9 133.9 133.9    133.9 133.8 133.8    163.0 163.0 163.0    163.0 163.0 163.0    150.0 150.0 150.0
  45    134.0 134.0 134.0    134.0 133.9 133.9    166.0 166.0 166.0    166.0 166.0 166.0    153.0 153.0 153.0
  46    134.1 134.1 134.1    134.1 134.0 134.0    169.0 169.0 169.0    169.0 169.0 169.0    156.0 156.0 156.0
  47    134.2 134.2 134.2    134.2 134.1 134.1    172.0 172.0 172.0    172.0 172.0 172.0    159.0 159.0 159.0
  48    134.3 134.3 134.3    134.3 134.2 134.2    175.0 175.0 175.0    175.0 175.0 175.0    162.0 162.0 162.0
  49    134.4 134.4 134.4    134.4 134.3 134.3    178.0 178.0 178.0    178.0 178.0 178.0    165.0 165.0 165.0
  50    134.5 134.5 134.5    134.4 134.4 134.4    181.0 181.0 181.0    181.0 181.0 181.0    168.0 168.0 168.0
  51    134.6 134.6 134.6    134.5 134.5 134.5    184.0 184.0 184.0    184.0 184.0 184.0    171.0 171.0 171.0
  52    134.7 134.7 134.7    134.6 134.6 134.6    187.0 187.0 187.0    187.0 187.0 187.0    174.0 174.0 174.0
  53    127.6 127.6 128.4    127.6 127.5 128.3    190.0 190.0 190.0    190.0 190.0 190.0    177.0 177.0 177.0
  54    127.7 127.7 128.5    127.7 127.6 128.4    193.0 193.0 193.0    193.0 193.0 193.0    180.0 180.0 180.0
  55    127.8 127.8 128.6    127.8 127.7 128.5    196.0 196.0 196.0    196.0 196.0 196.0    183.0 183.0 183.0
  56    127.9 127.9 128.7    127.8 127.8 128.6    199.0 199.0 199.0    199.0 199.0 199.0    186.0 186.0 186.0
  57    128.0 128.0 128.7    127.9 127.9 128.7    202.0 202.0 202.0    202.0 202.0 202.0    189.0 189.0 189.0
  58    128.1 128.1 128.8    128.0 128.0 128.8    205.0 205.0 205.0    205.0 205.0 205.0    192.0 192.0 192.0
  59    128.2 128.2 128.9    128.1 128.1 128.9    208.0 208.0 208.0    208.0 208.0 208.0    195.0 195.0 195.0
  60    128.3 128.3 129.0    128.2 128.2 128.9    211.0 211.0 211.0    211.0 211.0 211.0    198.0 198.0 198.0
  61    128.4 128.3 129.1    128.3 128.3 129.0    214.0 214.0 214.0    214.0 214.0 214.0    201.0 201.0 201.0
